mean_overlapping_bboxes,class_acc,val_class_acc,loss_rpn_cls,loss_rpn_regr,val_loss_rpn_cls,val_loss_rpn_regr,loss_class_cls,loss_class_regr,val_loss_class_cls,val_loss_class_regr,curr_loss,val_curr_loss,elapsed_time,mAP
11.884,0.782,0.796,1.263,0.214,1.668,0.228,0.465,0.275,0.454,0.276,2.218,2.627,3.649,0.0
11.737,0.799,0.784,1.23,0.217,1.514,0.203,0.442,0.263,0.488,0.263,2.152,2.469,3.687,0.0
12.453,0.79,0.78,1.299,0.203,1.738,0.218,0.462,0.272,0.475,0.276,2.236,2.706,3.677,0.0
12.607,0.787,0.8,1.187,0.214,1.52,0.222,0.463,0.265,0.45,0.267,2.129,2.459,3.656,0.0
13.263,0.797,0.788,1.259,0.201,1.708,0.206,0.442,0.28,0.488,0.272,2.181,2.674,3.629,0.0
12.588,0.784,0.792,1.24,0.191,1.654,0.231,0.457,0.275,0.453,0.281,2.163,2.619,3.692,0.0
11.868,0.794,0.778,1.134,0.215,1.572,0.224,0.448,0.269,0.481,0.266,2.066,2.544,3.677,0.0
12.665,0.806,0.785,0.985,0.206,1.523,0.217,0.429,0.272,0.509,0.266,1.892,2.515,3.68,0.0
12.989,0.802,0.796,1.153,0.194,1.498,0.225,0.446,0.273,0.438,0.255,2.066,2.417,3.737,0.0
11.992,0.79,0.793,1.229,0.203,1.566,0.219,0.468,0.275,0.469,0.26,2.175,2.513,3.699,0.0
12.548,0.791,0.79,1.272,0.213,1.632,0.211,0.443,0.272,0.49,0.268,2.2,2.601,3.674,0.0
12.656,0.802,0.804,1.183,0.184,1.712,0.224,0.435,0.266,0.445,0.282,2.068,2.664,3.708,0.0
12.755,0.802,0.788,1.124,0.205,1.435,0.225,0.448,0.253,0.489,0.277,2.03,2.426,3.695,0.0
12.551,0.812,0.8,1.208,0.19,1.71,0.217,0.433,0.263,0.481,0.27,2.094,2.678,3.72,0.0
12.996,0.822,0.792,1.178,0.193,1.478,0.219,0.417,0.264,0.486,0.283,2.052,2.466,3.761,0.0
13.198,0.808,0.788,1.074,0.2,1.416,0.223,0.425,0.254,0.506,0.27,1.952,2.415,3.72,0.0
12.638,0.811,0.795,1.015,0.188,1.594,0.216,0.413,0.264,0.487,0.269,1.88,2.566,3.704,0.0
12.591,0.808,0.798,1.179,0.195,1.529,0.223,0.436,0.254,0.472,0.276,2.064,2.5,3.765,0.0
12.454,0.796,0.779,0.947,0.182,1.646,0.22,0.442,0.253,0.502,0.276,1.824,2.644,3.69,0.0
12.756,0.806,0.78,1.111,0.19,1.612,0.213,0.419,0.246,0.504,0.263,1.967,2.592,3.706,0.0
13.647,0.807,0.794,1.094,0.196,1.602,0.218,0.428,0.26,0.49,0.267,1.977,2.577,3.756,0.0
12.036,0.836,0.79,1.199,0.189,1.464,0.232,0.392,0.251,0.516,0.272,2.032,2.484,3.744,0.0
12.39,0.805,0.792,1.014,0.193,1.669,0.214,0.446,0.252,0.523,0.267,1.905,2.673,3.686,0.0
13.288,0.806,0.794,1.195,0.19,1.592,0.231,0.421,0.251,0.514,0.272,2.057,2.61,3.731,0.0
13.356,0.82,0.801,1.196,0.184,1.698,0.22,0.411,0.247,0.495,0.292,2.037,2.705,3.714,0.0
12.103,0.826,0.782,0.991,0.189,1.522,0.218,0.399,0.237,0.537,0.259,1.816,2.536,3.743,0.0
13.048,0.821,0.799,1.15,0.181,1.566,0.229,0.419,0.26,0.531,0.267,2.01,2.593,3.753,0.0
12.903,0.82,0.792,0.971,0.184,1.438,0.231,0.412,0.252,0.491,0.269,1.819,2.428,3.809,0.0
12.913,0.815,0.811,1.002,0.181,1.707,0.213,0.423,0.247,0.465,0.276,1.853,2.661,3.781,0.0
12.839,0.804,0.801,1.058,0.182,1.647,0.225,0.425,0.247,0.488,0.274,1.912,2.633,3.777,0.0
13.385,0.836,0.791,0.882,0.169,1.584,0.216,0.387,0.243,0.514,0.282,1.681,2.596,3.817,0.0
14.056,0.824,0.798,1.013,0.169,1.54,0.218,0.417,0.248,0.498,0.263,1.847,2.519,3.831,0.0
13.806,0.818,0.796,0.994,0.189,1.432,0.218,0.412,0.243,0.51,0.259,1.838,2.42,3.85,0.0
12.737,0.822,0.81,0.895,0.175,1.656,0.214,0.403,0.246,0.495,0.266,1.72,2.631,3.782,0.0
11.751,0.831,0.808,1.059,0.175,1.671,0.22,0.378,0.237,0.527,0.262,1.849,2.68,3.834,0.0
12.839,0.822,0.786,1.038,0.185,1.524,0.233,0.415,0.229,0.512,0.267,1.867,2.536,3.827,0.0
12.977,0.834,0.77,1.008,0.171,1.512,0.221,0.383,0.244,0.542,0.288,1.807,2.563,3.846,0.0
13.205,0.831,0.798,0.94,0.174,1.675,0.214,0.384,0.229,0.501,0.255,1.726,2.645,3.852,0.0
12.91,0.832,0.8,1.092,0.184,1.401,0.224,0.405,0.247,0.523,0.277,1.929,2.425,3.839,0.0
13.182,0.814,0.786,0.991,0.162,1.523,0.217,0.435,0.241,0.551,0.266,1.829,2.557,3.787,0.0
12.947,0.829,0.788,1.09,0.176,1.543,0.227,0.407,0.234,0.526,0.258,1.907,2.553,3.838,0.0
13.399,0.838,0.792,0.967,0.166,1.656,0.24,0.37,0.242,0.517,0.272,1.745,2.685,3.827,0.0
13.477,0.824,0.784,0.841,0.154,1.545,0.209,0.407,0.248,0.532,0.28,1.65,2.567,3.84,0.0
12.298,0.84,0.794,0.756,0.17,1.702,0.212,0.38,0.235,0.508,0.282,1.541,2.704,3.803,0.0
13.558,0.846,0.811,0.907,0.18,1.54,0.219,0.379,0.231,0.562,0.27,1.698,2.592,3.896,0.0
